epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,93.8898,0.57399,1.97988,0.84307,0.97818,0.88223,0.4936,0.52476,0.31285,0.78216,0.45004,0.45891,0.27829,1.83082,2.77867,2.03822,1.54629,2.60207e-05,2.60207e-05,2.60207e-05
71,94.8494,0.56933,1.7661,0.73931,0.96689,0.88223,0.4936,0.52476,0.31285,0.78216,0.45004,0.45891,0.27829,1.83082,2.77867,2.03822,1.54629,2.55731e-05,2.55731e-05,2.55731e-05
72,95.8812,0.62109,1.1495,1.12905,1.05908,0.85512,0.5,0.52451,0.31276,0.79238,0.4518,0.45871,0.27545,1.86749,2.76004,2.03863,1.55336,2.5102e-05,2.5102e-05,2.5102e-05
73,96.8774,0.56983,1.32507,0.71001,0.93798,0.85512,0.5,0.52451,0.31276,0.79238,0.4518,0.45871,0.27545,1.86749,2.76004,2.03863,1.55336,2.46073e-05,2.46073e-05,2.46073e-05
74,97.8315,0.42636,1.31496,0.44494,0.96436,0.85512,0.5,0.52451,0.31276,0.79238,0.4518,0.45871,0.27545,1.86749,2.76004,2.03863,1.55336,2.40891e-05,2.40891e-05,2.40891e-05
75,98.4442,0.79471,1.66443,0.77839,1.10844,0.83817,0.5,0.5246,0.31335,0.78208,0.45733,0.45899,0.27554,1.86126,2.75836,1.98855,1.53904,2.35472e-05,2.35472e-05,2.35472e-05
76,99.4555,0.54728,1.36384,0.60107,0.91982,0.83817,0.5,0.5246,0.31335,0.78208,0.45733,0.45899,0.27554,1.86126,2.75836,1.98855,1.53904,2.29819e-05,2.29819e-05,2.29819e-05
77,100.611,0.78396,1.56248,0.92021,1.04614,0.83817,0.5,0.5246,0.31335,0.78208,0.45733,0.45899,0.27554,1.86126,2.75836,1.98855,1.53904,2.23929e-05,2.23929e-05,2.23929e-05
78,101.745,0.64172,1.47806,1.03432,1.03448,0.82463,0.5,0.5244,0.3133,0.77259,0.4605,0.459,0.27557,1.85995,2.75275,1.97418,1.53187,2.17805e-05,2.17805e-05,2.17805e-05
79,102.815,0.55782,1.3977,0.83227,0.97249,0.82463,0.5,0.5244,0.3133,0.77259,0.4605,0.459,0.27557,1.85995,2.75275,1.97418,1.53187,2.11444e-05,2.11444e-05,2.11444e-05
80,103.903,0.61464,1.48337,0.64937,0.93211,0.82463,0.5,0.5244,0.3133,0.77259,0.4605,0.459,0.27557,1.85995,2.75275,1.97418,1.53187,2.04848e-05,2.04848e-05,2.04848e-05
81,104.96,0.50706,1.28977,0.95999,0.96065,0.83496,0.5,0.52212,0.313,0.77878,0.45714,0.45852,0.27542,1.85314,2.7648,1.92027,1.51471,1.98016e-05,1.98016e-05,1.98016e-05
82,105.889,0.47115,1.31918,0.54683,0.97772,0.83496,0.5,0.52212,0.313,0.77878,0.45714,0.45852,0.27542,1.85314,2.7648,1.92027,1.51471,1.90949e-05,1.90949e-05,1.90949e-05
83,106.848,0.61425,1.46635,0.82021,1.11847,0.83496,0.5,0.52212,0.313,0.77878,0.45714,0.45852,0.27542,1.85314,2.7648,1.92027,1.51471,1.83646e-05,1.83646e-05,1.83646e-05
84,107.854,0.53683,1.26777,0.74915,0.89813,0.82267,0.5,0.52101,0.31229,0.76605,0.45606,0.45885,0.27551,1.85769,2.75968,1.93131,1.52519,1.76107e-05,1.76107e-05,1.76107e-05
85,109.187,0.581,1.65953,0.82055,0.99375,0.82267,0.5,0.52101,0.31229,0.76605,0.45606,0.45885,0.27551,1.85769,2.75968,1.93131,1.52519,1.68333e-05,1.68333e-05,1.68333e-05
86,110.308,0.54822,1.40717,0.76246,0.96815,0.82267,0.5,0.52101,0.31229,0.76605,0.45606,0.45885,0.27551,1.85769,2.75968,1.93131,1.52519,1.60323e-05,1.60323e-05,1.60323e-05
87,111.308,0.70975,2.0964,1.15631,1.11435,0.82267,0.5,0.52101,0.31229,0.76605,0.45606,0.45885,0.27551,1.85769,2.75968,1.93131,1.52519,1.52077e-05,1.52077e-05,1.52077e-05
